#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-14T02:45:03 [V7.4.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-14T02:45:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/110A/table3&-out.max=unlimited&-out.form=TSV&-out.meta=&-out=ACO&-out=_RA.icrs&-out=_DE.icrs&-out=Count&-out=Rich	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7110
#Name: VII/110A
#Title: Rich Clusters of Galaxies (Abell+ 1989)
#INFO	ivoid=ivo://cds.vizier/vii/110a	    IVOID of underlying data collection
#INFO	creator=Abell G.O.	    First author or institution
#INFO	cites=bibcode:1989ApJS...70....1A	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=1989	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/110A	    Dataset landing page
#INFO	publication_date=2012-11-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_110A_table3:
#Name: VII/110A/table3
#Title: Revised northern "Abell Catalog"
----	-------	------	---	-
   1	00 07.6	+16 31	 51	1
   2	00 08.5	-19 38	 72	1
   3	00 09.3	+04 02	 65	1
   4	00 09.4	+06 47	 55	1
   5	00 10.3	+33 06	 66	1
   6	00 10.5	+17 42	116	2
   7	00 11.7	+32 25	 55	1
   8	00 12.2	-11 11	 76	1
   9	00 12.4	+09 28	 55	1
  10	00 12.9	-05 59	 88	2
  11	00 12.7	-16 26	129	2
  12	00 13.4	-07 36	112	2
  13	00 13.6	-19 30	 92	2
  14	00 15.2	-23 53	 35	0
  15	00 15.2	-26 01	 35	0
  16	00 16.8	+06 45	 86	2
  17	00 17.0	+08 48	 62	1
  18	00 17.1	-02 47	 41	0
  19	00 18.9	-06 11	102	2
  20	00 19.6	-22 37	 54	1
  21	00 20.5	+28 38	 56	1
  22	00 20.7	-25 42	141	3
  23	00 21.8	-00 53	 45	0
  24	00 22.5	+23 18	127	2
  25	00 23.1	-00 09	 78	1
  26	00 23.3	+36 51	129	2
  27	00 24.8	-20 42	 40	0
  28	00 25.2	+08 08	129	2
  29	00 27.0	+38 34	 46	0
  30	00 26.7	-12 11	102	2
  31	00 27.1	+22 38	 90	2
  32	00 26.9	-09 06	 61	1
  33	00 27.1	-19 30	 69	1
  34	00 27.2	-08 48	 98	2
  35	00 27.4	-21 40	 58	1
  36	00 27.6	-12 47	 84	2
  37	00 27.9	-10 31	 66	1
  38	00 28.4	+13 56	 69	1
  39	00 28.3	-11 23	 56	1
  40	00 28.6	+16 24	 64	1
  41	00 28.8	+07 51	153	3
  42	00 28.6	-23 38	154	3
  43	00 28.9	+17 35	 37	0
  44	00 29.6	+12 02	 60	1
  45	00 29.8	-12 17	104	2
  46	00 30.2	-12 52	 78	1
  47	00 30.6	-24 09	 50	1
  48	00 31.2	+12 33	 52	1
  49	00 31.4	-11 25	 77	1
  50	00 31.4	-22 13	 86	2
  51	00 31.6	-23 39	 37	0
  52	00 31.8	-12 11	 76	1
  53	00 32.6	-07 33	 33	0
  54	00 33.7	+26 45	 49	0
  55	00 34.0	+06 20	 46	0
  56	00 33.8	-07 47	 50	1
  57	00 33.9	-08 54	 98	2
  58	00 34.0	-06 45	 51	1
  59	00 34.5	+30 17	 70	1
  60	00 35.0	+30 02	 94	2
  61	00 34.8	-23 11	 61	1
  62	00 35.3	+20 24	 66	1
  63	00 35.9	+49 42	 33	0
  64	00 36.5	+18 55	 73	1
  65	00 36.9	+19 05	 93	2
  66	00 36.6	-05 10	 47	0
  67	00 37.0	+19 16	 86	2
  68	00 37.0	+09 09	 52	1
  69	00 37.6	+18 20	106	2
  70	00 37.3	-07 26	 50	1
  71	00 37.8	+29 35	 30	0
  72	00 38.5	+45 43	 47	0
  73	00 38.3	+09 25	 50	1
  74	00 38.9	-22 19	 49	0
  75	00 39.8	+21 15	 42	0
  76	00 39.8	+06 46	 42	0
  77	00 40.6	+29 31	 50	1
  78	00 40.6	+26 44	 65	1
  79	00 40.6	+18 08	 73	1
  80	00 40.4	-24 41	 64	1
  81	00 41.0	+22 16	 46	0
  82	00 41.4	+25 24	125	2
  83	00 41.4	+14 02	 36	0
  84	00 41.8	+21 24	 76	1
  85	00 41.6	-09 21	 59	1
  86	00 42.5	-21 48	 31	0
