#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-14T02:59:53 [V7.4.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-14T02:59:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2F220A%2Fbarnard&-out.max=unlimited&-out.form=TSV&-out.meta=&-out=Barn&-out=RA1875&-out=DE1875&-out=Diam	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7220
#Name: VII/220A
#Title: Barnard's Catalogue of 349 Dark Objects in the Sky (Barnard, 1927)
#INFO	ivoid=ivo://cds.vizier/vii/220a	    IVOID of underlying data collection
#INFO	creator=Barnard E.E.	    First author or institution
#INFO	cites=1927cdos.book.....B	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/220A	    Dataset landing page
#INFO	publication_date=2012-11-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1875:	eq_FK4 B1875
#Table	VII_220A_barnard:
#Name: VII/220A/barnard
#Title: Positions and Diameters
----	--------	------	-----
  1 	03 25 14	+30 44	 30.0
  2 	03 25 44	+31 54	 20.0
  3 	03 32 14	+31 34	 20.0
  4 	03 36 14	+31 24	
  5 	03 40 00	+32 30	 60.0
  6 	03 46 30	+55 45	
  7 	04 09 40	+28 15	
  8 	04 07 53	+54 56	
  9 	04 09 00	+54 45	
 10 	04 10 57	+27 58	  8.0
 11 	04 16 37	+54 45	
 12 	04 19 52	+53 58	 24.0
 13 	04 21 17	+54 37	 11.0
 14 	04 32 20	+25 30	  3.0
 15 	04 22 50	+46 21	 13.0
 16 	04 23 20	+46 20	
 17 	04 23 25	+46 15	
 18 	04 23 40	+24 05	 60.0
 19 	04 26 00	+26 00	 60.0
 20 	04 27 30	+50 43	 60.0
 21 	04 27 50	+55 06	 10.0
 22 	04 31 00	+25 48	120.0
 23 	04 32 40	+29 38	  5.0
 24 	04 35 00	+29 30	  8.0
 25 	04 42 56	+45 48	  8.0
 26 	04 46 40	+30 25	  5.0
 27 	04 47 10	+30 21	  5.0
 28 	04 47 54	+30 26	  4.0
 29 	04 58 20	+31 25	 10.0
 30 	05 23 15	+12 40	 67.0
 31 	05 25 00	+12 40	 30.0
 32 	05 25 08	+12 20	
 33 	05 34 36	-02 32	  4.0
 34 	05 35 20	+32 35	 20.0
 35 	05 38 40	+09 00	 15.0
 36 	05 43 00	+07 23	120.0
 37 	06 26 00	+10 34	175.0
 38 	06 26 45	+11 10	 60.0
 39 	06 31 08	+10 26	
 40 	16 07 24	-18 39	 15.0
 41 	16 15 00	-19 20	 45.0
 42 	16 18 00	-23 09	
 43 	16 23 00	-19 30	
 44 	16 33 00	-23 50	
 44a	16 36 08	-40 06	  5.0
 45 	16 39 00	-21 22	120.0
 46 	16 49 42	-22 32	
 47 	16 52 12	-22 27	 15.0
 48 	16 53 00	-40 30	 40.0
 49 	16 54 30	-33 05	
 50 	16 54 40	-34 12	 15.0
 51 	16 57 14	-22 05	 20.0
 53 	16 58 00	-33 25	 60.0
 54 	16 58 20	-34 05	  5.0
 55 	16 59 28	-31 50	 16.0
 56 	17 00 43	-31 56	  3.0
 57 	17 00 50	-22 40	  5.0
 58 	17 02 30	-40 15	 30.0
 59 	17 03 35	-27 20	 60.0
 60 	17 04 20	-22 17	 13.0
 61 	17 07 35	-20 20	
 62 	17 08 46	-20 44	 19.0
