
----	-----	------	----	---
   1	17 42	-28 50	   4	  4
   2	17 45	-29 10	  14	 10
   3	17 44	-28 45	   2	  2
   4	17 48	-28 55	   3	  3
   5	16 38	-17 30	  25	 12
   6	16 34	-16 30	  90	  8
   7	16 31	-15 40	  50	 10
   8	15 48	-05 50	  45	 12
   9	17 43	-26 10	   5	  5
  10	15 51	-04 33	  60	 30
  11	15 48	-03 54	  15	 15
  12	16 28	-11 40	  65	 20
  13	16 10	-07 55	  35	 15
  14	17 52	-24 50	  60	 40
  15	15 49	-03 36	  20	 12
  16	16 30	-11 10	 150	 30
  17	16 08	-06 58	  30	 10
  18	15 48	-02 45	  28	 10
  19	15 48	-02 40	 140	 90
  20	16 24	-09 30	  50	 20
  21	16 26	-09 30	  18	  6
  22	16 26	-09 25	  40	 20
  23	15 46	-01 48	  30	  8
  24	16 30	-10 00	 480	240
  25	18 01	-24 20	  45	 30
  26	18 02	-24 20	  90	 40
  27	17 59	-23 00	  20	 20
  28	18 07	-24 00	  15	 10
  29	18 07	-24 00	  45	 45
  30	16 22	-07 20	 140	 10
  31	18 05	-23 27	   3	  3
  32	16 30	-08 30	  65	 20
  33	18 08	-23 45	  20	  5
  34	18 06	-23 27	   3	  2
  35	16 33	-08 55	  20	 10
  36	15 58	-01 30	  50	 30
  37	15 58	-01 30	  30	 20
  38	18 05	-22 00	  60	 30
  39	16 34	-07 45	  70	 15
  40	18 06	-21 30	  10	  7
  41	20 00	-31 30	 210	 90
  42	18 13	-20 20	  10	  7
  43	18 14	-19 45	   4	  3
  44	16 04	+00 30	  70	 50
  45	16 04	+00 30	  40	 10
  46	18 14	-19 40	   4	  3
  47	18 14	-19 30	  15	 15
  48	18 06	-18 10	   3	  3
  49	18 09	-17 45	  15	 10
  50	18 04	-17 00	  18	  5
  51	18 13	-18 00	 210	120
  52	18 17	-18 00	  30	  5
  53	18 08	-16 40	  30	 30
  54	20 00	-28 00	 260	 40
  55	18 13	-16 40	  60	 40
  56	18 13	-16 40	   3	  3
  57	18 15	-16 00	 120	120
  58	18 03	-14 10	  30	 20
  59	18 14	-15 30	   5	  4
  60	18 18	-16 00	  40	 30
  61	18 10	-14 30	  20	 15
  62	18 18	-14 50	  20	 20
  63	18 28	-16 00	  80	 60
  64	18 20	-14 40	  15	 12
  65	18 38	-16 50	  40	 10
  66	18 23	-14 50	  10	  6
  67	18 16	-13 50	 120	 25
  68	18 17	-13 55	  35	 30
  69	18 31	-15 30	  30	 10
  70	18 17	-13 00	 180	120
  71	18 16	-12 30	  80	 30
  72	18 15	-12 00	  60	 30
  73	18 30	-11 48	  20	 20
  74	18 30	-11 48	  10	  6
  75	18 29	-10 50	  20	 10
  76	18 29	-10 50	  35	 25
  77	18 28	-09 40	  10	  8
  78	18 28	-08 40	   2	  2
  79	18 29	-08 30	   8	  5
  80	18 34	-07 40	  30	 15
  81	18 32	-06 55	  40	 15
  82	18 34	-06 40	  15	 15
  83	19 43	-15 00	  10	  8
  84	18 31	-05 00	   2	  2
  85	18 25	-03 50	   3	  3
  86	19 55	-14 30	  70	 40
  87	19 43	-12 50	  10	  8
  88	17 16	+06 10	  12	  8
  89	19 43	-12 20	   2	  2
  90	18 29	-02 10	  20	  8
  91	18 44	-03 47	  10	  2
  92	18 43	-02 00	  10	 10
  93	18 22	+00 50	   8	  5
  94	18 47	-02 23	  15	 15
  95	18 32	+00 00	  12	 10
  96	18 28	+01 00	   8	  4
  97	18 29	+01 11	  10	  5
  98	18 29	+01 20	  22	 20
  99	18 41	-00 20	  15	 10
 100	19 43	-07 30	  40	 12
 101	19 43	-06 00	 180	 90
 102	18 12	+07 03	   8	  4
 103	18 59	+02 05	   2	  1
 104	19 02	+02 20	  35	 20
 105	16 08	+22 00	  60	 20
 106	16 11	+21 50	  30	 20
 107	18 52	+05 59	   4	  4
 108	20 00	-02 00	 150	 50
 109	19 07	+05 30	   3	  2
 110	18 54	+07 45	   8	  5
 111	20 11	-01 30	  20	 10
 112	20 44	-05 50	  30	 18
 113	20 11	-01 00	  70	 20
 114	20 29	-02 40	  85	 30
 115	20 23	-01 40	  35	 10
 116	20 09	-00 30	 140	 80
 117	21 12	-08 00	 360	120
 118	20 52	-05 00	  90	 15
 119	20 25	-01 00	 140	 10
 120	20 31	-01 30	  30	 35
 121	20 34	-01 00	  70	  3
