#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-14T03:03:39 [V7.4.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-14T03:03:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2F7A%2Fldn&-out.max=unlimited&-out.form=TSV&-out.meta=&-out=LDN&-out=RA1950&-out=DE1950&-out=Area&-out=Opacity	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7007
#Name: VII/7A
#Title: Lynds' Catalogue of Dark Nebulae (LDN) (Lynds 1962)
#INFO	ivoid=ivo://cds.vizier/vii/7a	    IVOID of underlying data collection
#INFO	creator=Lynds B.T.	    First author or institution
#INFO	cites=bibcode:1962ApJS....7....1L	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=1962	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/7A	    Dataset landing page
#INFO	publication_date=2013-02-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_7A_ldn:
#Name: VII/7A/ldn
#Title: The LDN Catalogue
----	-------	------	-------	-
   1	16 26.0	-16 00	  0.054	3
   2	18 04.0	-31 30	  1.240	2
   3	18 00.0	-31 00	  5.600	2
   4	16 59.5	-22 08	  0.004	5
   5	17 13.2	-24 22	  0.012	4
   6	17 06.0	-23 10	  0.052	3
   7	17 25.5	-26 15	  0.036	6
   8	16 43.5	-19 10	  0.084	4
   9	17 07.0	-23 10	  0.070	3
  10	17 54.6	-30 06	  0.003	4
  11	17 05.1	-22 50	  0.012	6
  12	17 55.0	-30 07	  0.003	4
  13	17 01.0	-22 06	  0.012	3
  14	17 22.0	-25 30	  0.020	4
  15	17 01.4	-22 06	  0.043	6
  16	17 13.0	-24 00	  0.120	3
  17	17 05.0	-22 40	  0.404	3
  18	17 06.0	-22 50	  0.010	4
  19	17 26.0	-26 00	  0.642	4
  20	17 05.5	-22 40	  0.047	4
  21	17 26.0	-25 54	  0.023	5
  22	16 44.0	-18 50	  0.280	3
  23	17 14.2	-23 55	  0.002	5
  24	17 14.5	-23 58	  0.004	5
  25	17 29.4	-26 09	  0.007	6
  26	18 02.0	-30 30	  0.034	3
  27	16 25.0	-15 00	  3.460	1
  28	17 16.0	-24 00	  2.220	2
  29	18 03.6	-30 38	  0.030	3
  30	17 10.0	-23 00	  0.215	1
  31	16 47.0	-19 00	  0.022	6
  32	17 08.0	-22 35	  0.111	4
  33	16 38.5	-17 20	  0.312	2
  34	17 45.0	-28 00	 25.000	3
  35	17 53.3	-29 04	  0.020	4
  36	17 25.6	-25 10	  0.004	5
  37	17 17.0	-23 50	  0.014	3
  38	17 08.3	-22 25	  0.008	5
  39	17 08.6	-22 26	  0.017	5
  40	17 54.0	-29 04	  0.029	4
  41	18 02.0	-30 00	  0.009	3
  42	17 30.0	-25 40	  1.450	4
  43	16 31.6	-15 44	  0.070	6
  44	17 17.0	-23 40	  0.036	1
  45	17 28.0	-25 20	  0.348	4
  46	17 10.0	-22 30	  0.348	3
  47	16 47.0	-18 30	  0.280	3
  48	17 55.0	-29 00	  6.140	1
  49	17 59.0	-29 30	  1.040	3
  50	17 22.0	-24 20	  0.018	4
  51	17 09.6	-22 17	  0.034	4
  52	17 29.1	-25 19	  0.006	6
  53	17 20.1	-23 52	  0.001	6
  54	17 20.5	-23 55	  0.002	4
  55	17 20.0	-23 50	  0.003	6
  56	17 12.0	-22 30	  0.462	3
  57	17 19.6	-23 41	  0.003	6
  58	17 27.4	-24 53	  0.004	5
  59	17 17.6	-23 20	  0.007	3
  60	17 09.0	-21 55	  0.035	4
  61	17 28.3	-24 53	  0.008	5
  62	16 47.0	-18 00	  1.740	1
  63	16 47.0	-18 00	  0.037	6
  64	17 37.0	-26 00	  0.995	4
  65	17 10.0	-21 50	  0.088	6
  66	17 21.0	-23 30	  0.009	6
  67	17 11.0	-21 50	  0.088	5
  68	18 03.9	-29 22	  0.006	3
