#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-14T02:43:17 [V7.4.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-14T02:43:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/118/ngc2000&-out.max=unlimited&-out.form=TSV&-out.meta=&-out=Name&-out=RAB2000&-out=DEB2000&-out=size	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7118
#Name: VII/118
#Title: NGC 2000.0 (Sky Publishing, ed. Sinnott 1988)
#INFO	ivoid=ivo://cds.vizier/vii/118	    IVOID of underlying data collection
#INFO	creator=Sinnott	    First author or institution
#INFO	cites=1988cngc.book.....S	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/118	    Dataset landing page
#INFO	publication_date=2022-10-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_118_ngc2000:
#Name: VII/118/ngc2000
#Title: The NGC 2000.0 Catalogue
-----	-------	------	-----
I5370	00 00.1	+32 45	  0.7
I5371	00 00.2	+32 49	
 7801	00 00.4	+50 42	
I5372	00 00.4	+32 47	  0.7
I5373	00 00.4	+32 47	  0.7
 7802	00 01.1	+06 13	
I5374	00 01.1	+04 30	
I5375	00 01.1	+04 31	  0.9
 7804	00 01.3	+07 45	
 7803	00 01.4	+13 06	
 7805	00 01.4	+31 26	  1.4
I5376	00 01.4	+34 32	  2.1
 7806	00 01.5	+31 27	  1.3
I1526	00 01.6	+11 21	
I5377	00 02.1	+16 36	  1.3
 7809	00 02.2	+02 56	
 7810	00 02.4	+12 57	
I1527	00 02.4	+04 07	
 7811	00 02.5	+03 20	
I5378	00 02.6	+16 37	
I5379	00 02.7	+16 35	
I5380	00 02.7	-66 11	
 7812	00 02.9	-34 15	
 7813	00 03.2	-11 59	
I5381	00 03.2	+15 58	  1.5
 7814	00 03.3	+16 09	  6.3
 7815	00 03.4	+20 41	
I5382	00 03.4	-65 11	
 7808	00 03.5	-10 45	
 7822	00 03.6	+68 37	 60.0
 7816	00 03.8	+07 28	  1.9
I5383	00 03.8	+16 00	
 7817	00 04.0	+20 45	  3.7
 7818	00 04.2	+07 21	
I5384	00 04.2	-11 58	  0.8
 7819	00 04.4	+31 29	  2.0
 7820	00 04.6	+05 11	
 7823	00 04.8	-62 04	  1.4
I1528	00 05.1	-03 07	
 7824	00 05.2	+06 54	
 7825	00 05.2	+05 12	
 7826	00 05.2	-20 44	
I1529	00 05.2	-11 30	
 7821	00 05.3	-16 29	
 7827	00 05.5	+05 13	
 7830	00 06.2	+08 22	
 7828	00 06.4	-13 24	
 7829	00 06.4	-13 24	
I5385	00 06.4	-00 04	
 7833	00 06.5	+27 38	
I5386	00 06.5	-03 43	
 7832	00 06.6	-03 42	
 7834	00 06.7	+08 21	
 7835	00 06.8	+08 25	
 7837	00 06.9	+08 20	
 7838	00 07.0	+08 20	
 7839	00 07.0	+27 38	
 7840	00 07.1	+08 33	
    1	00 07.3	+27 43	  1.9
    2	00 07.3	+27 41	  1.4
    3	00 07.3	+08 17	
 7831	00 07.3	+32 35	
I1530	00 07.3	+32 37	  1.8
    4	00 07.4	+08 22	
    5	00 07.8	+35 21	
 7836	00 08.0	+33 04	  1.2
    6	00 08.3	+32 30	
    7	00 08.4	-29 55	  2.5
I   1	00 08.4	+27 43	
   10	00 08.6	-33 52	  2.7
   11	00 08.7	+37 26	
   12	00 08.7	+04 37	  1.9
    8	00 08.8	+23 50	
   13	00 08.8	+33 26	  2.7
   14	00 08.8	+15 49	  3.0
    9	00 08.9	+23 49	  1.5
   15	00 09.1	+21 36	
   16	00 09.1	+27 44	  2.1
   18	00 09.4	+27 43	
   19	00 09.4	+32 50	
   20	00 09.5	+33 19	  2.0
I1531	00 09.6	-32 17	  1.9
   22	00 09.8	+27 50	
   23	00 09.9	+25 55	  2.3
