BatchStart
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|
+--------+-------+------+-------+------------+------------------+------------+-----------+
|NGC 2573|01 42.0|-89 20| 13.5  |            |                  |  3.6       |Gx         |
|NGC 6438|18 26.0|-85 25| 13.0  |p           |                  |  2.6       |Gx         |
|IC 4333 |14 05.0|-84 16|       |            |                  |  1.7       |Gx         |
|NGC 1841|04 45.0|-84 00| 12.0  |p           |                  |            |Gb         |
|IC 2051 |03 52.0|-83 50|       |            |                  |  2.6       |Gx         |
|IC 4499 |15 00.3|-82 13| 10.6  |            |                  |  7.6       |Gb         |
|NGC 2144|05 41.0|-82 07|       |            |                  |  1.6       |Gx         |
|NGC 7637|23 26.5|-81 55|       |            |                  |  2.5       |Gx         |
|IC 4545 |15 41.5|-81 38|       |            |                  |  2.0       |Gx         |
|NGC 3195|10 09.5|-80 52|       |            |                  |  0.6       |Pl         |
|NGC 3149|10 03.8|-80 25|       |            |                  |  2.1       |Gx         |
|IC 4647 |17 26.0|-80 12|       |            |                  |  1.7       |Gx         |
|IC 4641 |17 24.2|-80 09|       |            |                  |  1.6       |Gx         |
|IC 4640 |17 23.9|-80 04|       |            |                  |  1.5       |Gx         |
|NGC 6920|20 43.9|-80 00|       |            |                  |  1.8       |Gx         |
|NGC 2012|05 22.6|-79 51|       |            |                  |  1.5       |Gx         |
|IC 3104 |12 18.8|-79 44|       |            |                  |  4.7       |Gx         |
|IC 2884 |11 27.7|-79 44|       |            |                  |            |U          |
|IC 4448 |14 40.5|-78 49|       |            |                  |  1.0       |Gx         |
|NGC 5612|14 34.1|-78 24| 13.0  |p           |                  |  2.0       |Gx         |
|IC 2054 |04 07.2|-78 15|       |            |                  |            |U          |
|IC 4555 |15 48.3|-78 11|       |            |                  |  1.9       |Gx         |
|IC 5026 |20 48.5|-78 04|       |            |                  |  2.5       |Gx         |
|IC 2142 |05 33.1|-78 00|       |            |                  |            |U          |
|NGC 1956|05 19.7|-77 45|       |            |                  |            |Gx         |
|IC 4631 |17 11.0|-77 36|       |            |                  |            |U          |
|IC 4864 |19 40.1|-77 33|       |            |                  |  1.6       |Gx         |
|IC 4633 |17 13.8|-77 32|       |            |                  |  3.7       |Gx         |
|IC 4608 |16 46.9|-77 29|       |            |                  |  1.2       |Gx         |
|IC 4635 |17 15.7|-77 29|       |            |                  |  3.1       |Gx         |
|IC 4912 |20 06.8|-77 21|       |            |                  |  1.0       |Gx         |
|IC 4928 |20 10.2|-77 18|       |            |                  |            |U          |
|IC 4618 |16 57.9|-77 00|       |            |                  |  1.9       |Gx         |
|IC 5025 |20 45.0|-76 59|       |            |                  |  1.3       |Gx         |
|IC 2160 |05 55.5|-76 55|       |            |                  |  1.9       |Gx         |
|IC 2103 |04 39.8|-76 50|       |            |                  |  1.7       |Gx         |
|NGC 1520|03 57.5|-76 50|       |            |                  |            |OC         |
|IC 5040 |20 52.3|-76 40|       |            |                  |            |U          |
|NGC 2915|09 26.2|-76 38| 12.6  |            |                  |  1.5       |Gx         |
|IC 2631 |11 09.8|-76 37|       |            |                  |            |U          |
|NGC 6557|18 21.4|-76 34|       |            |                  |            |Gx         |
|IC 5022 |20 41.1|-76 27|       |            |                  |  1.2       |Gx         |
|NGC 3620|11 16.1|-76 13|       |            |                  |  2.8       |Gx         |
|IC 4522 |15 11.5|-75 52|       |            |                  |  2.9       |Gx         |
|NGC 5967|15 48.1|-75 40| 12.0  |p           |                  |  2.9       |Gx         |
|IC 4377 |14 17.0|-75 39|       |            |                  |  2.6       |Gx         |
|IC 2089 |04 32.6|-75 33|       |            |                  |            |U          |
