#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-14T03:16:24 [V7.4.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-14T03:16:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2F20%2Fcatalog&-out.max=unlimited&-out.form=TSV&-out.meta=&-out=Sh2&-out=RA1900&-out=DE1900&-out=Diam	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7020
#Name: VII/20
#Title: Catalogue of HII Regions (Sharpless 1959)
#INFO	ivoid=ivo://cds.vizier/vii/20	    IVOID of underlying data collection
#INFO	creator=Sharpless S.	    First author or institution
#INFO	cites=bibcode:1959ApJS....4..257S	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=1959	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/20	    Dataset landing page
#INFO	publication_date=1998-02-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1900:	eq_FK4 B1900
#Table	VII_20_catalog:
#Name: VII/20/catalog
#Title: The Sharpless (Sh 2) Catalogue
----	----------	---------	----
   1	15 52 48.0	-25 50 00	 150
   2	16 57 18.0	-38 00 00	  60
   3	17 06 54.0	-38 23 00	  12
   4	17 12 54.0	-39 14 00	   5
   5	17 13 12.0	-38 21 00	 100
   6	17 08 18.0	-37 00 00	   4
   7	15 54 24.0	-22 40 00	 240
   8	17 14 42.0	-35 56 00	 120
   9	16 15 06.0	-25 21 00	  80
  10	17 12 24.0	-33 59 00	  60
  11	17 19 54.0	-34 07 00	  90
  12	17 29 24.0	-32 32 00	 120
  13	17 24 00.0	-31 29 00	  40
  14	17 23 54.0	-30 11 00	   2
  15	17 44 06.0	-31 14 00	  30
  16	17 41 30.0	-29 16 00	  20
  17	17 39 48.0	-28 49 00	  25
  18	17 42 24.0	-29 13 00	   4
  19	17 43 00.0	-29 05 00	  12
  20	17 42 54.0	-28 38 00	  10
  21	17 45 18.0	-28 52 00	   5
  22	17 48 54.0	-25 01 00	  60
  23	16 08 00.0	-08 07 00	  50
  24	16 05 42.0	-06 49 00	  30
  25	17 59 18.0	-24 24 00	  90
  26	17 52 54.0	-23 19 00	  20
  27	16 31 42.0	-10 22 00	 480
  28	17 56 36.0	-23 35 00	  40
  29	18 04 24.0	-24 01 00	  40
  30	17 57 30.0	-23 01 00	  20
  31	18 05 12.0	-23 49 00	   8
  32	18 04 48.0	-23 40 00	   8
  33	15 54 42.0	-01 20 00	  35
  34	18 00 24.0	-21 40 00	  90
  35	18 09 54.0	-20 17 00	  20
  36	16 00 24.0	+00 40 00	  45
