#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-14T18:54:22 [V7.4.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-14T18:54:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2F21%2Fcatalog&-out.max=unlimited&-out.form=TSV&-out.meta=true&-out=VdB+_RA+_DE+BRadMax+RRadMax&-oc.form=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7021
#Name: VII/21
#Title: Catalogue of Reflection Nebulae (Van den Bergh, 1966)
#INFO	ivoid=ivo://cds.vizier/vii/21	    IVOID of underlying data collection
#INFO	creator=Van den Bergh S.	    First author or institution
#INFO	cites=bibcode:1966AJ.....71..990V	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=1966	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/21	    Dataset landing page
#INFO	publication_date=2022-11-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	VII_21_catalog:
#Name: VII/21/catalog
#Title: The catalogue (Table I of publication) (corrected version, 13-Nov-2022)
#Column	VdB	(I3)		[ucd=meta.id;meta.main]
#Column	_RA	(F9.5)		[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)		[ucd=pos.eq.dec;meta.main]
#Column	BRadMax	(F5.1)		[ucd=phys.angSize]
#Column	RRadMax	(F5.1)		[ucd=phys.angSize]
 	deg	deg	arcmin	arcmin
---	---------	---------	-----	-----
  1	002.69319	+58.76952	  4.3	  1.1
  2	003.35083	+65.61346	  1.7	  1.1
  3	008.65570	+69.43461	  0.9	  0.9
  4	010.82607	+61.91115	  4.2	  3.1
  5	014.17721	+60.71674	 60.0	 60.0
  6	025.93068	+61.83432	  0.9	  0.9
  7	042.23129	+69.63429	  3.1	  3.1
  8	042.88654	+67.81504	  2.3	  1.7
  9	042.99480	+68.88850	  3.7	  3.1
 10	048.94988	+57.14062	  8.0	  5.4
 11	051.05911	+61.53857	  3.1	  2.3
 12	051.34966	+31.73110	  2.3	  2.3
 13	051.45875	+30.93171	  2.3	
 14	052.26722	+59.94033	 23.0	 23.0
 15	052.47810	+58.87875	 27.0	 17.0
 16	052.08708	+29.79925	  4.5	  4.5
 17	052.33241	+31.41585	  4.0	  4.0
 18	053.79947	+38.01517	  7.1	  5.7
 19	056.14245	+32.16282	  2.8	  2.8
 20	056.21890	+24.11334	 11.0	  7.1
 21	056.45669	+24.36775	 26.0	  8.5
 22	056.58156	+23.94836	 26.0	 17.0
 23	056.87115	+24.10514	 17.0	 10.0
 24	057.40140	+38.98210	  4.5	  3.4
 25	063.10418	+23.57457	  4.3	  4.3
 26	063.39404	+10.21248	  5.7	  4.3
 27	065.48921	+28.44321	  2.8	  4.3
 28	065.49763	+19.53512	  0.9	  6.2
 29	072.09476	+29.77300	  6.8	  5.7
 30	073.51254	+66.34268	 20.0	 23.0
 31	073.94102	+30.55119	  4.5	  2.6
 32	075.59048	+44.26957	  0.9	
 33	076.71273	-03.33332	  0.9	
 34	079.07562	+34.31232	 10.0	
 35	078.74769	+13.01412	  0.9	  2.0
 36	078.63447	-08.20164	410.0	410.0
 37	079.51701	+13.41774	  2.0	  7.7
 38	080.43151	+08.42856	 14.0	 11.0
 39	081.12302	+32.81907	  0.3	  0.3
 40	081.40888	+06.58818	  0.3	  0.3
 41	082.29562	+23.69442	  0.6	  0.3
 42	082.82669	-05.70376	  2.8	  2.8
 43	083.03084	+06.04701	  1.1	  0.6
 44	083.06178	-04.51839	  4.3	
 45	084.17007	+31.85451	  0.3	  0.3
 46	084.10597	-06.71602	  0.9	  0.9
 47	084.81178	+23.32336	  2.3	  5.1
 48	084.52715	-00.18430	 14.0	
 49	084.79644	+04.12147	 21.0	  4.8
 50	085.05641	-01.46257	  3.1	  2.3
 51	085.23488	-01.50718	  5.1	  4.0
 52	085.40995	-02.25902	  4.3	  2.8
 53	085.35794	-10.31167	  0.9	  0.3
 54	085.45000	-06.25000	  0.6	  0.6
 55	085.58876	-08.13338	  0.9	  0.3
 56	085.93064	+16.35850	  0.6	  0.3
 57	085.75240	-02.31261	  2.6	  1.7
 58	086.11154	-08.71054	  0.3	  0.6
